File	Id	Catalogue number	Date of publication	Number of entries	Number of desc	Collaborator	
file:/Users/gabaysimon/GitHub/Data_2/CAT_000001.xml	CAT_000001		1845	379	399	Lucie Rondeau du Noyer	Catalogue d'une belle collection d'autographes dont la vente aura lieu le mercredi 14 mai 1845 et jours suivants
file:/Users/gabaysimon/GitHub/Data_2/CAT_000002.xml	CAT_000002	29	1871	189	194	Lucie Rondeau du Noyer	REVUE DES CURIOSITÉS DE L'HISTOIRE ET DE LA BIOGRAPHIE
file:/Users/gabaysimon/GitHub/Data_2/CAT_000003.xml	CAT_000003	507	1919-04	183	199	Lucie Rondeau du Noyer	LETTRES AUTOGRAPHES ET DOCUMENTS HISTORIQUES
file:/Users/gabaysimon/GitHub/Data_2/CAT_000004.xml	CAT_000004			133	137	Lucie Rondeau du Noyer	CATALOGUE d'une précieuse collection de LETTRES AUTOGRAPHES COMPOSANT EN PARTIE LE CABINET D'UN AMATEUR ÉTRANGER (...) dont la vente aura lieu le 30 mai 1986
file:/Users/gabaysimon/GitHub/Data_2/CAT_000005.xml	CAT_000005	3	1856-10	137	143	Lucie Rondeau du Noyer	Catalogue de lettres autographes, manuscrits, documents historiques, etc. de A. Laverdet
file:/Users/gabaysimon/GitHub/Data_2/CAT_000006.xml	CAT_000006	24 - deuxième série		461	461	Lucie Rondeau du Noyer	REVUE DES CURIOSITÉS DE L'HISTOIRE ET DE LA BIOGRAPHIE
file:/Users/gabaysimon/GitHub/Data_2/CAT_000007.xml	CAT_000007			1	2	Simon Gabay	Précieux autographes composant la Collection du Président Robert Schuman. Première partie
file:/Users/gabaysimon/GitHub/Data_2/CAT_000008.xml	CAT_000008		1935	1	1	Simon Gabay	Catalogue de la précieuse collection de lettres autographes composant le cabinet de feu M. Henry Fatio dont la troisième vente aura lieu á Genève
file:/Users/gabaysimon/GitHub/Data_2/CAT_000009.xml	CAT_000009		1932	3	3	Simon Gabay	Catalogue de la précieuse collection de lettres autographes composant la cabinet de feu M. Henry Fatio, dont la deuxième vente…
file:/Users/gabaysimon/GitHub/Data_2/CAT_000010.xml	CAT_000010		1927	1	1	Simon Gabay	Lettres autographes et documents historiques
file:/Users/gabaysimon/GitHub/Data_2/CAT_000011.xml	CAT_000011		1926	1	1	Simon Gabay	Autographs, broadsides & association books of great historical interest & value: books & autographs from the libraries of Isidore Braggiotti, Brookline, Mass., Emanuel Hertz, New York City, the late Col. Jas. H. Manning, Albany, N.Y. & other private collectors
file:/Users/gabaysimon/GitHub/Data_2/CAT_000012.xml	CAT_000012		1918	4	8	Simon Gabay	Catalogue of the Renowned Collection of Autograph Letters and Historical Manuscipts Formed by the Late Alfred Morrison […] The second portion.
file:/Users/gabaysimon/GitHub/Data_2/CAT_000013.xml	CAT_000013		1923	1	1	Simon Gabay	Catalogue d’une précieuse collection de lettres autographes composant la collection de M. H. Fatio
file:/Users/gabaysimon/GitHub/Data_2/CAT_000014.xml	CAT_000014		1904	1	2	Simon Gabay	Catalogue of Autograph Letters and Historical Documents
file:/Users/gabaysimon/GitHub/Data_2/CAT_000015.xml	CAT_000015		1949	1	2	Simon Gabay	Autographes précieux provenant de la Collection de Madame Whitney-Hoff
file:/Users/gabaysimon/GitHub/Data_2/CAT_000016.xml	CAT_000016		1919	1	1	Simon Gabay	Lettres autographes et documents historiques
file:/Users/gabaysimon/GitHub/Data_2/CAT_000017.xml	CAT_000017		1871	1	1	Simon Gabay	Catalogue de la belle collection de lettres autographes composant le cabinet de feu M. R. Merlin
file:/Users/gabaysimon/GitHub/Data_2/CAT_000018.xml	CAT_000018	37	1873-08	192	192	Lucie Rondeau du Noyer	REVUE DES CURIOSITÉS DE L'HISTOIRE ET DE LA BIOGRAPHIE
file:/Users/gabaysimon/GitHub/Data_2/CAT_000019.xml	CAT_000019	19	1868-12	163	165	Lucie Rondeau du Noyer	REVUE DES CURIOSITÉS DE L'HISTOIRE ET DE LA BIOGRAPHIE
